0
"[('Marital_status', 0.155939496), ('Occupation', 0.085579616), ('Age', 0.068503702), ('Workclass', 0.014345472), ('Hours_per_week', 0.013577045), ('Native_country', 0.013518402), ('Education', 0.005674395), ('Sex', 0.001634734), ('Race', 0.001169558)]"
"[('Marital_status', 0.155832434), ('Occupation', 0.085686678), ('Age', 0.068638086), ('Workclass', 0.014804607), ('Hours_per_week', 0.013577045), ('Native_country', 0.013518402), ('Education', 0.004033644), ('Sex', 0.001741796), ('Race', 0.001062496)]"
"[('Marital_status', 0.155165823), ('Occupation', 0.085528657), ('Age', 0.068919459), ('Native_country', 0.014267621), ('Workclass', 0.013929715), ('Hours_per_week', 0.013483939), ('Education', 0.004839945), ('Sex', 0.001662594), ('Race', 0.001310217)]"
"[('Marital_status', 0.155970182), ('Occupation', 0.083937562), ('Age', 0.067456583), ('Workclass', 0.01458709), ('Native_country', 0.014168334), ('Hours_per_week', 0.013821968), ('Education', 0.005469062), ('Race', 0.0019673), ('Sex', 0.001553505)]"
"[('Marital_status', 0.157231316), ('Occupation', 0.084756519), ('Age', 0.069045997), ('Hours_per_week', 0.014538402), ('Workclass', 0.01431561), ('Native_country', 0.013518402), ('Education', 0.004559253), ('Race', 0.001169558), ('Sex', 0.000673377)]"
"[('Marital_status', 0.157254982), ('Occupation', 0.085686678), ('Age', 0.067352742), ('Workclass', 0.014347344), ('Hours_per_week', 0.013577045), ('Native_country', 0.013518402), ('Education', 0.004693155), ('Sex', 0.001741796), ('Race', 0.001062496)]"
"[('Marital_status', 0.155739821), ('Occupation', 0.085779291), ('Age', 0.068600233), ('Workclass', 0.014884059), ('Hours_per_week', 0.013577045), ('Native_country', 0.013518402), ('Education', 0.003894638), ('Sex', 0.001741796), ('Race', 0.001062496)]"
"[('Marital_status', 0.156016355), ('Occupation', 0.085502757), ('Age', 0.068158215), ('Workclass', 0.01458709), ('Native_country', 0.013654743), ('Hours_per_week', 0.013555188), ('Education', 0.002737431), ('Sex', 0.00152025), ('Race', 0.001169558)]"
"[('Marital_status', 0.156037168), ('Occupation', 0.085836069), ('Age', 0.068818136), ('Workclass', 0.015051162), ('Hours_per_week', 0.013577045), ('Native_country', 0.013518402), ('Education', 0.005239026), ('Sex', 0.001741796), ('Race', 0.001062496)]"
"[('Marital_status', 0.155697266), ('Occupation', 0.084402052), ('Age', 0.067654069), ('Workclass', 0.01458709), ('Native_country', 0.01392902), ('Hours_per_week', 0.013806485), ('Education', 0.004545295), ('Sex', 0.001876964), ('Race', 0.001707064)]"
"[('Marital_status', 0.157098044), ('Occupation', 0.083237725), ('Age', 0.069437153), ('Hours_per_week', 0.014538402), ('Workclass', 0.014251639), ('Native_country', 0.013518402), ('Education', 0.007056351), ('Race', 0.002688352), ('Sex', 0.000673377)]"
"[('Marital_status', 0.15637473), ('Occupation', 0.086421466), ('Age', 0.068941601), ('Workclass', 0.014437841), ('Hours_per_week', 0.013577045), ('Native_country', 0.013518402), ('Education', 0.003776681), ('Sex', 0.001634734), ('Race', 0.001169558)]"
"[('Marital_status', 0.156167659), ('Occupation', 0.085579616), ('Age', 0.068307873), ('Workclass', 0.014988761), ('Hours_per_week', 0.013577045), ('Native_country', 0.013518402), ('Education', 0.002787724), ('Sex', 0.001634734), ('Race', 0.001169558)]"
"[('Marital_status', 0.156696505), ('Occupation', 0.085663078), ('Age', 0.067495385), ('Workclass', 0.015129667), ('Native_country', 0.013706291), ('Hours_per_week', 0.013389156), ('Education', 0.005373162), ('Sex', 0.001739729), ('Race', 0.001086097)]"
"[('Marital_status', 0.155213955), ('Occupation', 0.084723767), ('Age', 0.067898695), ('Workclass', 0.01458709), ('Native_country', 0.014199363), ('Hours_per_week', 0.014083487), ('Education', 0.003012763), ('Race', 0.001605451), ('Sex', 0.001592829)]"
"[('Marital_status', 0.155425574), ('Occupation', 0.086093538), ('Age', 0.068475123), ('Workclass', 0.014893789), ('Hours_per_week', 0.013577045), ('Native_country', 0.013518402), ('Education', 0.002671886), ('Sex', 0.001634734), ('Race', 0.001169558)]"
"[('Marital_status', 0.155780027), ('Occupation', 0.083911193), ('Age', 0.067243743), ('Workclass', 0.01458709), ('Native_country', 0.014227622), ('Hours_per_week', 0.013739054), ('Education', 0.007917608), ('Race', 0.00203691), ('Sex', 0.001724046)]"
"[('Marital_status', 0.154937601), ('Occupation', 0.082446827), ('Age', 0.067035275), ('Native_country', 0.015082842), ('Hours_per_week', 0.014819291), ('Workclass', 0.01458709), ('Education', 0.005208939), ('Race', 0.002290503), ('Sex', 0.001841788)]"
"[('Marital_status', 0.155201275), ('Occupation', 0.08565732), ('Age', 0.067876522), ('Workclass', 0.01458709), ('Native_country', 0.013933381), ('Hours_per_week', 0.013653852), ('Education', 0.004502913), ('Sex', 0.001565408), ('Race', 0.001407616)]"
"[('Marital_status', 0.157259517), ('Occupation', 0.084681855), ('Age', 0.068484421), ('Workclass', 0.013768867), ('Hours_per_week', 0.013577045), ('Native_country', 0.013518402), ('Education', 0.003390264), ('Race', 0.00206732), ('Sex', 0.001634734)]"
"[('Marital_status', 0.155908876), ('Occupation', 0.085610236), ('Age', 0.069165516), ('Workclass', 0.01458709), ('Native_country', 0.013706291), ('Hours_per_week', 0.013389156), ('Education', 0.007091826), ('Sex', 0.001641799), ('Race', 0.001162493)]"
"[('Marital_status', 0.157149722), ('Occupation', 0.086103147), ('Age', 0.067840813), ('Workclass', 0.014804247), ('Hours_per_week', 0.013577045), ('Native_country', 0.013518402), ('Education', 0.006321498), ('Sex', 0.001741796), ('Race', 0.001062496)]"
"[('Marital_status', 0.15835135), ('Occupation', 0.085686678), ('Age', 0.067445356), ('Workclass', 0.014641831), ('Hours_per_week', 0.013577045), ('Native_country', 0.013518402), ('Education', 0.006881424), ('Sex', 0.001741796), ('Race', 0.001062496)]"
"[('Marital_status', 0.156041995), ('Occupation', 0.084380548), ('Age', 0.067696777), ('Workclass', 0.01458709), ('Native_country', 0.014131005), ('Hours_per_week', 0.013722425), ('Education', 0.003645065), ('Race', 0.001610643), ('Sex', 0.001532236)]"
"[('Marital_status', 0.15833522), ('Occupation', 0.085966244), ('Age', 0.068510541), ('Workclass', 0.013591883), ('Hours_per_week', 0.013577045), ('Native_country', 0.013518402), ('Education', 0.006160324), ('Sex', 0.001634734), ('Race', 0.001169558)]"
"[('Marital_status', 0.155939496), ('Occupation', 0.085579616), ('Age', 0.068225919), ('Workclass', 0.01458709), ('Native_country', 0.013607759), ('Hours_per_week', 0.013487688), ('Education', 0.002490271), ('Sex', 0.001634734), ('Race', 0.001169558)]"
"[('Marital_status', 0.155840059), ('Occupation', 0.085798412), ('Age', 0.068214065), ('Workclass', 0.014694327), ('Hours_per_week', 0.013577045), ('Native_country', 0.013518402), ('Education', 0.003875086), ('Sex', 0.001634734), ('Race', 0.00119254)]"
"[('Marital_status', 0.156443361), ('Occupation', 0.085167473), ('Age', 0.067342227), ('Workclass', 0.014155636), ('Hours_per_week', 0.013876992), ('Native_country', 0.01386686), ('Education', 0.006680125), ('Sex', 0.001484787), ('Race', 0.00143914)]"
"[('Marital_status', 0.155620223), ('Occupation', 0.083824855), ('Age', 0.067390386), ('Workclass', 0.01458709), ('Native_country', 0.014517092), ('Hours_per_week', 0.013864845), ('Education', 0.002545288), ('Race', 0.001925235), ('Sex', 0.001666601)]"
"[('Marital_status', 0.155197622), ('Occupation', 0.085421602), ('Age', 0.067799197), ('Workclass', 0.01458709), ('Hours_per_week', 0.013976112), ('Native_country', 0.013518402), ('Education', 0.004302855), ('Sex', 0.001788347), ('Race', 0.001516767)]"
"[('Marital_status', 0.155978439), ('Occupation', 0.08588791), ('Age', 0.067891178), ('Workclass', 0.014577202), ('Native_country', 0.013706291), ('Hours_per_week', 0.013389156), ('Education', 0.003435704), ('Sex', 0.001806942), ('Race', 0.00121331)]"
"[('Marital_status', 0.155798383), ('Occupation', 0.08638618), ('Age', 0.069328992), ('Workclass', 0.014332929), ('Hours_per_week', 0.013577045), ('Native_country', 0.013518402), ('Education', 0.005627745), ('Sex', 0.001634734), ('Race', 0.001169558)]"
"[('Marital_status', 0.155932431), ('Occupation', 0.085586681), ('Age', 0.068908961), ('Workclass', 0.01458709), ('Native_country', 0.013706291), ('Hours_per_week', 0.013389156), ('Education', 0.00466147), ('Sex', 0.001641799), ('Race', 0.001162493)]"
"[('Marital_status', 0.156859786), ('Occupation', 0.085839445), ('Age', 0.06709661), ('Workclass', 0.01464238), ('Hours_per_week', 0.013748305), ('Native_country', 0.013518402), ('Education', 0.003643686), ('Sex', 0.00160551), ('Race', 0.001326114)]"
"[('Marital_status', 0.156474793), ('Occupation', 0.085362008), ('Age', 0.067933882), ('Workclass', 0.013987676), ('Hours_per_week', 0.013577045), ('Native_country', 0.013518402), ('Education', 0.003922781), ('Sex', 0.00169885), ('Race', 0.001387167)]"
"[('Marital_status', 0.155415648), ('Occupation', 0.085109707), ('Age', 0.067786024), ('Workclass', 0.01457433), ('Native_country', 0.014069573), ('Hours_per_week', 0.013389156), ('Education', 0.003825438), ('Race', 0.001805729), ('Sex', 0.001641799)]"
"[('Marital_status', 0.155512499), ('Occupation', 0.086707453), ('Age', 0.067667192), ('Workclass', 0.014413304), ('Hours_per_week', 0.013693619), ('Native_country', 0.013518402), ('Education', 0.003559604), ('Sex', 0.001625414), ('Race', 0.00118919)]"
"[('Marital_status', 0.155494211), ('Occupation', 0.084722206), ('Age', 0.067417142), ('Workclass', 0.01438845), ('Hours_per_week', 0.014348731), ('Native_country', 0.013973162), ('Education', 0.003351429), ('Sex', 0.00169393), ('Race', 0.001637755)]"
"[('Marital_status', 0.157651618), ('Occupation', 0.085747182), ('Age', 0.068362174), ('Workclass', 0.013861251), ('Hours_per_week', 0.013577045), ('Native_country', 0.013518402), ('Education', 0.004066942), ('Sex', 0.001634734), ('Race', 0.001169558)]"
"[('Marital_status', 0.155756547), ('Occupation', 0.084187648), ('Age', 0.066896581), ('Workclass', 0.015275298), ('Native_country', 0.014340129), ('Hours_per_week', 0.013798987), ('Education', 0.003830218), ('Race', 0.001681935), ('Sex', 0.001653606)]"
"[('Marital_status', 0.15570355), ('Occupation', 0.084467364), ('Age', 0.067593661), ('Workclass', 0.014260514), ('Hours_per_week', 0.0141428), ('Native_country', 0.014108207), ('Education', 0.005773753), ('Race', 0.001672596), ('Sex', 0.001670937)]"
"[('Marital_status', 0.155339799), ('Occupation', 0.085500821), ('Age', 0.068578606), ('Workclass', 0.014270567), ('Native_country', 0.014046655), ('Hours_per_week', 0.0135143), ('Education', 0.006293224), ('Sex', 0.0016883), ('Race', 0.001328977)]"
"[('Marital_status', 0.156682948), ('Occupation', 0.085579616), ('Age', 0.068297458), ('Workclass', 0.014547217), ('Hours_per_week', 0.013577045), ('Native_country', 0.013518402), ('Education', 0.00396217), ('Sex', 0.001634734), ('Race', 0.001169558)]"
"[('Marital_status', 0.156383497), ('Occupation', 0.086320403), ('Age', 0.067699545), ('Workclass', 0.014500861), ('Hours_per_week', 0.0136172), ('Native_country', 0.013518402), ('Education', 0.005241346), ('Sex', 0.001594579), ('Race', 0.001169558)]"
"[('Marital_status', 0.15696588), ('Occupation', 0.085742526), ('Age', 0.068186558), ('Workclass', 0.013823337), ('Hours_per_week', 0.01379558), ('Native_country', 0.013518402), ('Education', 0.005231749), ('Sex', 0.001734634), ('Race', 0.00121486)]"
"[('Marital_status', 0.155939496), ('Occupation', 0.085579616), ('Age', 0.068620376), ('Workclass', 0.01458709), ('Hours_per_week', 0.013565207), ('Native_country', 0.01353024), ('Education', 0.004087355), ('Sex', 0.001634734), ('Race', 0.001169558)]"
"[('Marital_status', 0.156056198), ('Occupation', 0.085787943), ('Age', 0.069573918), ('Workclass', 0.014330129), ('Hours_per_week', 0.013577045), ('Native_country', 0.013518402), ('Education', 0.005463811), ('Sex', 0.001741796), ('Race', 0.001062496)]"
"[('Marital_status', 0.156114192), ('Occupation', 0.086136803), ('Age', 0.068048859), ('Workclass', 0.014639395), ('Native_country', 0.013706291), ('Hours_per_week', 0.013389156), ('Education', 0.002980029), ('Sex', 0.001641799), ('Race', 0.001162493)]"
