0
"[('Marital_status', 0.154367372), ('Education', 0.111242232), ('Age', 0.064602508), ('Occupation', 0.028689391), ('Native_country', 0.016382092), ('Hours_per_week', 0.012539294), ('Race', 0.004079958), ('Sex', 0.002912702), ('Workclass', 0.002804509)]"
"[('Marital_status', 0.157056089), ('Education', 0.113910834), ('Age', 0.065466681), ('Occupation', 0.0283456), ('Native_country', 0.015060763), ('Hours_per_week', 0.011083866), ('Workclass', 0.002984755), ('Race', 0.002505374), ('Sex', 0.001386342)]"
"[('Marital_status', 0.154135681), ('Education', 0.111189541), ('Age', 0.064563668), ('Occupation', 0.028761167), ('Native_country', 0.016290856), ('Hours_per_week', 0.012482659), ('Race', 0.004171489), ('Sex', 0.003000466), ('Workclass', 0.00066239)]"
"[('Marital_status', 0.15448021), ('Education', 0.110957485), ('Age', 0.064242559), ('Occupation', 0.029208096), ('Native_country', 0.016335977), ('Hours_per_week', 0.012305335), ('Race', 0.004183211), ('Sex', 0.003010444), ('Workclass', 0.002158961)]"
"[('Marital_status', 0.154983854), ('Education', 0.111115149), ('Age', 0.063836164), ('Occupation', 0.028868956), ('Native_country', 0.016357553), ('Hours_per_week', 0.012486812), ('Race', 0.004188497), ('Sex', 0.002929485), ('Workclass', 0.002834777)]"
"[('Marital_status', 0.156826071), ('Education', 0.112120603), ('Age', 0.06450276), ('Occupation', 0.028600432), ('Native_country', 0.015806434), ('Hours_per_week', 0.011511241), ('Workclass', 0.004100966), ('Race', 0.003368445), ('Sex', 0.002079563)]"
"[('Marital_status', 0.154359404), ('Education', 0.111101833), ('Age', 0.064646265), ('Occupation', 0.028994502), ('Native_country', 0.016369592), ('Hours_per_week', 0.012451413), ('Race', 0.004010081), ('Sex', 0.002882459), ('Workclass', 0.001115321)]"
"[('Marital_status', 0.154758601), ('Education', 0.113737401), ('Age', 0.063673729), ('Occupation', 0.028951242), ('Native_country', 0.015863802), ('Hours_per_week', 0.01183316), ('Workclass', 0.003718009), ('Race', 0.003550149), ('Sex', 0.002447465)]"
"[('Marital_status', 0.154946132), ('Education', 0.111862184), ('Age', 0.064930353), ('Occupation', 0.028569375), ('Native_country', 0.016069999), ('Hours_per_week', 0.012039357), ('Race', 0.003756346), ('Workclass', 0.00270598), ('Sex', 0.002641801)]"
"[('Marital_status', 0.154012959), ('Education', 0.110990312), ('Age', 0.064816088), ('Occupation', 0.028639197), ('Native_country', 0.016360178), ('Hours_per_week', 0.012231502), ('Race', 0.004118297), ('Sex', 0.002966705), ('Workclass', 0.001541992)]"
"[('Marital_status', 0.15444117), ('Education', 0.112249737), ('Age', 0.063602917), ('Occupation', 0.028011), ('Native_country', 0.016388492), ('Hours_per_week', 0.012545479), ('Race', 0.004072044), ('Sex', 0.002911063), ('Workclass', 0.00262762)]"
"[('Marital_status', 0.154234664), ('Education', 0.111552085), ('Age', 0.064177655), ('Occupation', 0.028735156), ('Native_country', 0.016280224), ('Hours_per_week', 0.012413835), ('Race', 0.004194958), ('Sex', 0.003023236), ('Workclass', 0.000849931)]"
"[('Marital_status', 0.15465518), ('Education', 0.111233593), ('Age', 0.064437112), ('Occupation', 0.028939057), ('Native_country', 0.016328908), ('Hours_per_week', 0.012298267), ('Race', 0.004031649), ('Sex', 0.002891782), ('Workclass', 0.000695629)]"
"[('Marital_status', 0.155211796), ('Education', 0.111637072), ('Age', 0.064240506), ('Occupation', 0.029132129), ('Native_country', 0.016209125), ('Hours_per_week', 0.01216909), ('Race', 0.00367608), ('Sex', 0.00253975), ('Workclass', 0.002045764)]"
"[('Marital_status', 0.154849411), ('Education', 0.111388348), ('Age', 0.06389245), ('Occupation', 0.029244497), ('Native_country', 0.016254709), ('Hours_per_week', 0.012328137), ('Race', 0.004037843), ('Sex', 0.002820152), ('Workclass', 0.001709911)]"
"[('Marital_status', 0.156008421), ('Education', 0.112264299), ('Age', 0.064259119), ('Occupation', 0.028963175), ('Native_country', 0.016005377), ('Hours_per_week', 0.011686861), ('Race', 0.003393207), ('Sex', 0.00223509), ('Workclass', 0.001666103)]"
"[('Marital_status', 0.154479393), ('Education', 0.111358838), ('Age', 0.064506448), ('Occupation', 0.0287516), ('Native_country', 0.01639112), ('Hours_per_week', 0.012342422), ('Race', 0.004059412), ('Sex', 0.002926315), ('Workclass', 0.000773795)]"
"[('Marital_status', 0.154683079), ('Education', 0.111127171), ('Age', 0.064326514), ('Occupation', 0.02881979), ('Native_country', 0.016369141), ('Hours_per_week', 0.012511528), ('Race', 0.004043061), ('Sex', 0.002906382), ('Workclass', 0.002066313)]"
"[('Marital_status', 0.154667634), ('Education', 0.111472968), ('Age', 0.064491875), ('Occupation', 0.028520826), ('Native_country', 0.016445367), ('Hours_per_week', 0.012360388), ('Race', 0.003915668), ('Sex', 0.002849871), ('Workclass', 0.001732677)]"
"[('Marital_status', 0.15480789), ('Education', 0.111735046), ('Age', 0.063911757), ('Occupation', 0.02836892), ('Native_country', 0.016397247), ('Hours_per_week', 0.012209118), ('Race', 0.003869697), ('Sex', 0.002915539), ('Workclass', 0.00169731)]"
"[('Marital_status', 0.155304259), ('Education', 0.111143652), ('Age', 0.063540447), ('Occupation', 0.028936113), ('Native_country', 0.016328701), ('Hours_per_week', 0.012391152), ('Race', 0.004119583), ('Sex', 0.002944858), ('Workclass', 0.002562152)]"
"[('Marital_status', 0.155147438), ('Education', 0.11191661), ('Age', 0.06488025), ('Occupation', 0.028556874), ('Native_country', 0.016028075), ('Hours_per_week', 0.011997433), ('Race', 0.003730185), ('Sex', 0.002558685), ('Workclass', 0.001203245)]"
"[('Marital_status', 0.154736466), ('Education', 0.111844908), ('Age', 0.064016075), ('Occupation', 0.028436201), ('Native_country', 0.016398986), ('Hours_per_week', 0.012073683), ('Race', 0.004063714), ('Sex', 0.002920248), ('Workclass', 0.000709393)]"
"[('Marital_status', 0.155006879), ('Education', 0.111175542), ('Age', 0.064073763), ('Occupation', 0.028998252), ('Native_country', 0.016562189), ('Hours_per_week', 0.012343704), ('Race', 0.003869741), ('Workclass', 0.002814136), ('Sex', 0.002766877)]"
"[('Marital_status', 0.15440201), ('Education', 0.111560134), ('Age', 0.064728882), ('Occupation', 0.029582631), ('Native_country', 0.016053049), ('Hours_per_week', 0.012321096), ('Race', 0.003741083), ('Workclass', 0.003591783), ('Sex', 0.002426663)]"
"[('Marital_status', 0.154787861), ('Education', 0.111504152), ('Age', 0.064500745), ('Occupation', 0.028729332), ('Native_country', 0.016268075), ('Hours_per_week', 0.012237433), ('Race', 0.003954422), ('Sex', 0.002833528), ('Workclass', 0.001815956)]"
"[('Marital_status', 0.154936683), ('Education', 0.111827888), ('Age', 0.06475301), ('Occupation', 0.028492375), ('Native_country', 0.016126639), ('Hours_per_week', 0.012150655), ('Race', 0.003841618), ('Sex', 0.002686681), ('Workclass', 0.002190141)]"
"[('Marital_status', 0.155344854), ('Education', 0.111675309), ('Age', 0.06486283), ('Occupation', 0.029239944), ('Native_country', 0.015871914), ('Hours_per_week', 0.011846385), ('Race', 0.003558262), ('Sex', 0.002416051), ('Workclass', 0.00163515)]"
"[('Marital_status', 0.155077343), ('Education', 0.111587326), ('Age', 0.064677916), ('Occupation', 0.028951716), ('Native_country', 0.016205162), ('Hours_per_week', 0.012057291), ('Race', 0.003703973), ('Sex', 0.002554823), ('Workclass', 0.001035733)]"
"[('Marital_status', 0.155331348), ('Education', 0.111502323), ('Age', 0.064415732), ('Occupation', 0.028884812), ('Native_country', 0.016114424), ('Hours_per_week', 0.012083783), ('Race', 0.003838093), ('Sex', 0.002645034), ('Workclass', 0.002134234)]"
"[('Marital_status', 0.154282371), ('Education', 0.111998814), ('Age', 0.063656819), ('Occupation', 0.028614557), ('Native_country', 0.016211831), ('Hours_per_week', 0.012359351), ('Race', 0.004269065), ('Sex', 0.003075435), ('Workclass', 0.001536321)]"
"[('Marital_status', 0.155196947), ('Education', 0.111945504), ('Age', 0.064894231), ('Occupation', 0.028323986), ('Native_country', 0.016125648), ('Hours_per_week', 0.012075124), ('Workclass', 0.004154923), ('Race', 0.003724154), ('Sex', 0.002529954)]"
"[('Marital_status', 0.15524929), ('Education', 0.111474112), ('Age', 0.064017331), ('Occupation', 0.028700904), ('Native_country', 0.016326542), ('Hours_per_week', 0.012256376), ('Race', 0.003973365), ('Sex', 0.002817628), ('Workclass', 0.001433904)]"
"[('Marital_status', 0.154956219), ('Education', 0.112336927), ('Age', 0.064468997), ('Occupation', 0.028592072), ('Native_country', 0.016065537), ('Hours_per_week', 0.012034895), ('Race', 0.003751884), ('Sex', 0.002609018), ('Workclass', 0.00163378)]"
"[('Marital_status', 0.154361008), ('Education', 0.111408374), ('Age', 0.064370492), ('Occupation', 0.028380485), ('Native_country', 0.016306725), ('Hours_per_week', 0.012480605), ('Race', 0.004145832), ('Sex', 0.003006458), ('Workclass', 0.001081692)]"
"[('Marital_status', 0.154474652), ('Education', 0.111425153), ('Age', 0.064167551), ('Occupation', 0.028649699), ('Native_country', 0.016336351), ('Hours_per_week', 0.012463593), ('Race', 0.004159207), ('Sex', 0.002950806), ('Workclass', 0.000556868)]"
"[('Marital_status', 0.154792304), ('Education', 0.111557678), ('Age', 0.064325552), ('Occupation', 0.02868778), ('Native_country', 0.016348804), ('Hours_per_week', 0.012291402), ('Race', 0.003972218), ('Sex', 0.00282897), ('Workclass', 0.000469772)]"
"[('Marital_status', 0.154433993), ('Education', 0.111385748), ('Age', 0.064496722), ('Occupation', 0.028920917), ('Native_country', 0.01622346), ('Hours_per_week', 0.012690832), ('Race', 0.003909807), ('Sex', 0.00275407), ('Workclass', 0.001427403)]"
"[('Marital_status', 0.155151464), ('Education', 0.111752559), ('Age', 0.065034614), ('Occupation', 0.028898492), ('Native_country', 0.016052459), ('Hours_per_week', 0.011872799), ('Race', 0.003594672), ('Sex', 0.002458489), ('Workclass', 0.001486663)]"
"[('Marital_status', 0.154285504), ('Education', 0.111165916), ('Age', 0.064663871), ('Occupation', 0.028809766), ('Native_country', 0.016373143), ('Hours_per_week', 0.012383852), ('Race', 0.00409491), ('Sex', 0.002909304), ('Workclass', 0.000438546)]"
"[('Marital_status', 0.154590763), ('Education', 0.11171612), ('Age', 0.063902892), ('Occupation', 0.029013758), ('Native_country', 0.016336927), ('Hours_per_week', 0.012354395), ('Race', 0.004023275), ('Sex', 0.002877417), ('Workclass', 0.002024177)]"
"[('Marital_status', 0.155055662), ('Education', 0.111180815), ('Age', 0.063931168), ('Occupation', 0.028903491), ('Native_country', 0.016376659), ('Hours_per_week', 0.012386612), ('Race', 0.004063007), ('Sex', 0.002907269), ('Workclass', 0.001433387)]"
"[('Marital_status', 0.158044676), ('Education', 0.114082328), ('Age', 0.065593499), ('Occupation', 0.028699346), ('Native_country', 0.014448688), ('Hours_per_week', 0.010832678), ('Workclass', 0.002951925), ('Race', 0.002135035), ('Sex', 0.000979297)]"
"[('Marital_status', 0.155477473), ('Education', 0.111732294), ('Age', 0.064709461), ('Occupation', 0.028448564), ('Native_country', 0.016320701), ('Hours_per_week', 0.011947196), ('Race', 0.003666738), ('Sex', 0.002513122), ('Workclass', 0.0015621)]"
"[('Marital_status', 0.154638209), ('Education', 0.111307865), ('Age', 0.064589631), ('Occupation', 0.028548181), ('Native_country', 0.016490554), ('Hours_per_week', 0.012268414), ('Race', 0.004027202), ('Sex', 0.002795142), ('Workclass', 0.001075705)]"
"[('Marital_status', 0.155176985), ('Education', 0.111195696), ('Age', 0.063851975), ('Occupation', 0.028588228), ('Native_country', 0.016393057), ('Hours_per_week', 0.012294046), ('Race', 0.004008832), ('Sex', 0.002935712), ('Workclass', 0.001391514)]"
"[('Marital_status', 0.154347621), ('Education', 0.111727526), ('Age', 0.06406682), ('Occupation', 0.028902356), ('Native_country', 0.016376722), ('Hours_per_week', 0.01234608), ('Race', 0.00413173), ('Sex', 0.002907332), ('Workclass', 0.002512846)]"
"[('Marital_status', 0.161467359), ('Education', 0.1175525), ('Age', 0.065940665), ('Occupation', 0.02541234), ('Native_country', 0.013622775), ('Hours_per_week', 0.009853887), ('Workclass', 0.00268726), ('Race', 0.001719509), ('Sex', 0.000805108)]"
"[('Marital_status', 0.155091067), ('Education', 0.111687948), ('Age', 0.064319483), ('Occupation', 0.028103187), ('Native_country', 0.016527379), ('Hours_per_week', 0.012141408), ('Race', 0.003917267), ('Sex', 0.002780011), ('Workclass', 0.002377663)]"
