0
"[('Marital_status', 0.158232091), ('Education', 0.107139306), ('Age', 0.065510852), ('Occupation', 0.025099217), ('Native_country', 0.018040397), ('Workclass', 0.015129315), ('Hours_per_week', 0.011549894), ('Race', 0.001871973), ('Sex', 0.000469189)]"
"[('Marital_status', 0.161008749), ('Education', 0.110559466), ('Age', 0.064704495), ('Occupation', 0.024012786), ('Workclass', 0.012370088), ('Native_country', 0.011688473), ('Hours_per_week', 0.009777935), ('Race', 0.002012504), ('Sex', 0.000487752)]"
"[('Marital_status', 0.161056019), ('Education', 0.109543488), ('Age', 0.064280051), ('Occupation', 0.02452232), ('Workclass', 0.01338431), ('Native_country', 0.01071312), ('Hours_per_week', 0.010450739), ('Race', 0.001439133), ('Sex', 0.000608375)]"
"[('Marital_status', 0.160916341), ('Education', 0.109687207), ('Age', 0.065060135), ('Occupation', 0.024310817), ('Workclass', 0.01354103), ('Native_country', 0.012902569), ('Hours_per_week', 0.009794622), ('Race', 0.001346895), ('Sex', 0.000533127)]"
"[('Marital_status', 0.160019105), ('Education', 0.108876858), ('Age', 0.064984151), ('Occupation', 0.023284019), ('Workclass', 0.013771593), ('Native_country', 0.011389566), ('Hours_per_week', 0.010630108), ('Race', 0.002070046), ('Sex', 0.000898524)]"
"[('Marital_status', 0.160916341), ('Education', 0.109687207), ('Age', 0.065127225), ('Occupation', 0.024310817), ('Workclass', 0.01354103), ('Native_country', 0.011301169), ('Hours_per_week', 0.009794622), ('Race', 0.001346895), ('Sex', 0.000533127)]"
"[('Marital_status', 0.158723373), ('Education', 0.108786353), ('Age', 0.06342911), ('Occupation', 0.027621031), ('Native_country', 0.016552833), ('Workclass', 0.01431892), ('Hours_per_week', 0.010535487), ('Race', 0.001346895), ('Sex', 0.000523266)]"
"[('Marital_status', 0.162074589), ('Education', 0.109353249), ('Age', 0.063996147), ('Occupation', 0.024644775), ('Native_country', 0.01608957), ('Workclass', 0.01354103), ('Hours_per_week', 0.009777935), ('Race', 0.001408957), ('Sex', 0.000487752)]"
"[('Marital_status', 0.156814329), ('Education', 0.107781353), ('Age', 0.063842094), ('Occupation', 0.024032106), ('Workclass', 0.014736553), ('Hours_per_week', 0.011234075), ('Native_country', 0.00834148), ('Race', 0.003173568), ('Sex', 0.001883492)]"
"[('Marital_status', 0.159080764), ('Education', 0.107785278), ('Age', 0.063168806), ('Occupation', 0.02331044), ('Workclass', 0.014275286), ('Hours_per_week', 0.011191575), ('Native_country', 0.010046151), ('Race', 0.002943239), ('Sex', 0.001873633)]"
"[('Marital_status', 0.158963555), ('Education', 0.109367075), ('Age', 0.06459678), ('Occupation', 0.02527839), ('Workclass', 0.013358572), ('Native_country', 0.012206179), ('Hours_per_week', 0.010708181), ('Race', 0.001908679), ('Sex', 0.000582912)]"
"[('Marital_status', 0.160396176), ('Education', 0.108131092), ('Age', 0.065674561), ('Occupation', 0.025324758), ('Workclass', 0.01354103), ('Hours_per_week', 0.010333978), ('Native_country', 0.009164118), ('Race', 0.001508132), ('Sex', 0.000374709)]"
"[('Marital_status', 0.161843366), ('Education', 0.10870464), ('Age', 0.063331985), ('Occupation', 0.025673591), ('Native_country', 0.01372292), ('Workclass', 0.013634895), ('Hours_per_week', 0.010009422), ('Race', 0.001346895), ('Sex', 0.000739642)]"
"[('Marital_status', 0.156409633), ('Education', 0.106833325), ('Age', 0.064103229), ('Occupation', 0.023056717), ('Workclass', 0.014275286), ('Native_country', 0.013070867), ('Hours_per_week', 0.012397251), ('Race', 0.003680753), ('Sex', 0.002313342)]"
"[('Marital_status', 0.160083195), ('Education', 0.108139145), ('Age', 0.065978191), ('Occupation', 0.025680001), ('Workclass', 0.013550381), ('Hours_per_week', 0.009913476), ('Native_country', 0.009775343), ('Race', 0.001346895), ('Sex', 0.000593151)]"
"[('Marital_status', 0.159796706), ('Education', 0.108389655), ('Age', 0.066274031), ('Occupation', 0.025350365), ('Workclass', 0.01354103), ('Native_country', 0.01168933), ('Hours_per_week', 0.009777935), ('Race', 0.001577363), ('Sex', 0.000577351)]"
"[('Marital_status', 0.161269857), ('Education', 0.109347675), ('Age', 0.062460538), ('Occupation', 0.023567147), ('Workclass', 0.014528206), ('Native_country', 0.012724126), ('Hours_per_week', 0.010226118), ('Race', 0.002237271), ('Sex', 0.000885021)]"
"[('Marital_status', 0.160916341), ('Education', 0.109687207), ('Age', 0.064962118), ('Occupation', 0.02403927), ('Workclass', 0.01354103), ('Native_country', 0.011205562), ('Hours_per_week', 0.009777935), ('Race', 0.001680504), ('Sex', 0.000487752)]"
"[('Marital_status', 0.15979113), ('Education', 0.10972212), ('Age', 0.064299767), ('Occupation', 0.02485413), ('Workclass', 0.014360746), ('Hours_per_week', 0.010297668), ('Native_country', 0.009646118), ('Race', 0.001346895), ('Sex', 0.00061198)]"
"[('Marital_status', 0.154978208), ('Education', 0.106454569), ('Age', 0.063669921), ('Occupation', 0.023629061), ('Workclass', 0.014217216), ('Hours_per_week', 0.012261732), ('Native_country', 0.011005511), ('Race', 0.004039422), ('Sex', 0.003095)]"
"[('Marital_status', 0.160544992), ('Education', 0.109133116), ('Age', 0.065164669), ('Occupation', 0.023798785), ('Workclass', 0.013625725), ('Native_country', 0.012031989), ('Hours_per_week', 0.010414101), ('Race', 0.001658171), ('Sex', 0.000668495)]"
"[('Marital_status', 0.159428142), ('Education', 0.109926245), ('Age', 0.06451107), ('Occupation', 0.024195303), ('Native_country', 0.014337746), ('Workclass', 0.013388318), ('Hours_per_week', 0.010519019), ('Race', 0.002065144), ('Sex', 0.000694194)]"
"[('Marital_status', 0.160332028), ('Education', 0.106886258), ('Age', 0.065197404), ('Occupation', 0.027000771), ('Workclass', 0.014082335), ('Native_country', 0.012161644), ('Hours_per_week', 0.009780979), ('Race', 0.001400381), ('Sex', 0.00060428)]"
"[('Marital_status', 0.159472747), ('Education', 0.108735297), ('Age', 0.063324726), ('Occupation', 0.024021576), ('Workclass', 0.013561754), ('Hours_per_week', 0.01121447), ('Native_country', 0.009985707), ('Race', 0.002428631), ('Sex', 0.001310124)]"
"[('Marital_status', 0.160832288), ('Education', 0.108256815), ('Age', 0.065238449), ('Occupation', 0.025741209), ('Workclass', 0.01354103), ('Native_country', 0.01004122), ('Hours_per_week', 0.009777935), ('Race', 0.001408957), ('Sex', 0.000487752)]"
"[('Marital_status', 0.155027057), ('Education', 0.106612803), ('Age', 0.064738101), ('Occupation', 0.024344719), ('Workclass', 0.01415975), ('Hours_per_week', 0.012124768), ('Native_country', 0.009291842), ('Race', 0.003496692), ('Sex', 0.002467457)]"
"[('Marital_status', 0.159836504), ('Education', 0.108876363), ('Age', 0.06436138), ('Occupation', 0.023242545), ('Workclass', 0.014148366), ('Native_country', 0.013244801), ('Hours_per_week', 0.010295304), ('Race', 0.002446819), ('Sex', 0.00108063)]"
"[('Marital_status', 0.16082819), ('Education', 0.110856348), ('Age', 0.064072725), ('Occupation', 0.024348424), ('Workclass', 0.01345356), ('Native_country', 0.011137314), ('Hours_per_week', 0.009777935), ('Race', 0.001459501), ('Sex', 0.000487752)]"
"[('Marital_status', 0.160333637), ('Education', 0.109168966), ('Age', 0.065438862), ('Occupation', 0.024598666), ('Workclass', 0.013774806), ('Hours_per_week', 0.010134427), ('Native_country', 0.008824165), ('Race', 0.001346895), ('Sex', 0.000488178)]"
"[('Marital_status', 0.156920553), ('Education', 0.10836724), ('Age', 0.061808674), ('Occupation', 0.023493814), ('Workclass', 0.014376675), ('Hours_per_week', 0.011970203), ('Native_country', 0.008889232), ('Race', 0.003639543), ('Sex', 0.002389277)]"
"[('Marital_status', 0.157401286), ('Education', 0.109287962), ('Age', 0.063608288), ('Occupation', 0.023037411), ('Workclass', 0.013674377), ('Hours_per_week', 0.011741822), ('Native_country', 0.01135731), ('Race', 0.003056726), ('Sex', 0.001783483)]"
"[('Marital_status', 0.160012132), ('Education', 0.110321119), ('Age', 0.064858956), ('Occupation', 0.025074586), ('Workclass', 0.013202558), ('Native_country', 0.013184441), ('Hours_per_week', 0.009980144), ('Race', 0.001475499), ('Sex', 0.000359441)]"
"[('Marital_status', 0.160822778), ('Education', 0.10931034), ('Age', 0.065048342), ('Occupation', 0.023861903), ('Workclass', 0.013576988), ('Native_country', 0.011569964), ('Hours_per_week', 0.010211511), ('Race', 0.001669156), ('Sex', 0.000619758)]"
"[('Marital_status', 0.160603843), ('Education', 0.106349239), ('Age', 0.065466893), ('Occupation', 0.027165869), ('Workclass', 0.01354103), ('Native_country', 0.012407885), ('Hours_per_week', 0.010150063), ('Race', 0.001502247), ('Sex', 0.00050525)]"
"[('Marital_status', 0.160917505), ('Education', 0.109687207), ('Age', 0.065081332), ('Occupation', 0.024244296), ('Workclass', 0.01354103), ('Native_country', 0.013518157), ('Hours_per_week', 0.009822423), ('Race', 0.001475479), ('Sex', 0.000443264)]"
"[('Marital_status', 0.160052834), ('Education', 0.108726833), ('Age', 0.064403801), ('Occupation', 0.023292352), ('Workclass', 0.01399357), ('Native_country', 0.01135812), ('Hours_per_week', 0.010549823), ('Race', 0.002345715), ('Sex', 0.000996684)]"
"[('Marital_status', 0.161040277), ('Education', 0.108020752), ('Age', 0.064983949), ('Occupation', 0.025406618), ('Workclass', 0.013587541), ('Native_country', 0.011190098), ('Hours_per_week', 0.010268092), ('Race', 0.001346895), ('Sex', 0.000630311)]"
"[('Marital_status', 0.16167262), ('Education', 0.109888933), ('Age', 0.062939065), ('Occupation', 0.024667039), ('Workclass', 0.014367914), ('Native_country', 0.011597159), ('Hours_per_week', 0.009777935), ('Race', 0.001407292), ('Sex', 0.000489417)]"
"[('Marital_status', 0.160390004), ('Education', 0.110159334), ('Age', 0.064801987), ('Occupation', 0.024734665), ('Workclass', 0.013421313), ('Hours_per_week', 0.009777935), ('Native_country', 0.008870486), ('Race', 0.001511446), ('Sex', 0.000487752)]"
"[('Marital_status', 0.161016342), ('Education', 0.107335907), ('Age', 0.064274542), ('Occupation', 0.027510112), ('Workclass', 0.013422825), ('Native_country', 0.011763141), ('Hours_per_week', 0.009980722), ('Race', 0.00145122), ('Sex', 0.000292765)]"
"[('Marital_status', 0.158963429), ('Education', 0.106065895), ('Age', 0.063528394), ('Occupation', 0.025150844), ('Native_country', 0.017948235), ('Workclass', 0.014000503), ('Hours_per_week', 0.011862006), ('Race', 0.003010741), ('Sex', 0.001427634)]"
"[('Marital_status', 0.157804776), ('Education', 0.108404694), ('Age', 0.064518552), ('Occupation', 0.023191113), ('Workclass', 0.013739827), ('Native_country', 0.013471928), ('Hours_per_week', 0.011226945), ('Race', 0.003000461), ('Sex', 0.001741167)]"
"[('Marital_status', 0.162061837), ('Education', 0.105896298), ('Age', 0.0640089), ('Occupation', 0.027907275), ('Native_country', 0.017402093), ('Workclass', 0.01354103), ('Hours_per_week', 0.009876876), ('Race', 0.001585447), ('Sex', 0.000406772)]"
"[('Marital_status', 0.158886936), ('Education', 0.108630988), ('Age', 0.06378333), ('Occupation', 0.023395516), ('Workclass', 0.014848654), ('Hours_per_week', 0.011034211), ('Native_country', 0.009358317), ('Race', 0.002302054), ('Sex', 0.001283085)]"
"[('Marital_status', 0.158665332), ('Education', 0.107704355), ('Age', 0.064115232), ('Occupation', 0.023689021), ('Workclass', 0.01446736), ('Hours_per_week', 0.011283476), ('Native_country', 0.011257609), ('Race', 0.002664624), ('Sex', 0.001400371)]"
