0
"[('Education', 0.105387354), ('Age', 0.06796337), ('Occupation', 0.048265337), ('Sex', 0.025626213), ('Workclass', 0.01458709), ('Native_country', 0.013131211), ('Hours_per_week', 0.012806161), ('Race', 0.002378527), ('Marital_status', 0.001652173)]"
"[('Education', 0.105297704), ('Age', 0.068324476), ('Occupation', 0.048684304), ('Sex', 0.025581143), ('Workclass', 0.014621018), ('Hours_per_week', 0.012874982), ('Native_country', 0.012845514), ('Race', 0.002478277), ('Marital_status', 0.001412753)]"
"[('Education', 0.105533459), ('Age', 0.067622226), ('Occupation', 0.04820108), ('Sex', 0.025510652), ('Workclass', 0.01458709), ('Native_country', 0.013292412), ('Hours_per_week', 0.012776281), ('Race', 0.002280918), ('Marital_status', 0.001356553)]"
"[('Education', 0.105533459), ('Age', 0.068159937), ('Occupation', 0.048345169), ('Sex', 0.025581143), ('Workclass', 0.01458709), ('Native_country', 0.012880678), ('Hours_per_week', 0.012839818), ('Marital_status', 0.0026855), ('Race', 0.002414535)]"
"[('Education', 0.105533459), ('Age', 0.068891346), ('Occupation', 0.048345169), ('Sex', 0.025581143), ('Workclass', 0.01458709), ('Hours_per_week', 0.012874982), ('Native_country', 0.012845514), ('Race', 0.002414535), ('Marital_status', 0.002226102)]"
"[('Education', 0.105420885), ('Age', 0.068210036), ('Occupation', 0.048091297), ('Sex', 0.025578763), ('Workclass', 0.01458709), ('Hours_per_week', 0.01299518), ('Native_country', 0.01297116), ('Race', 0.002537517), ('Marital_status', 0.001047962)]"
"[('Education', 0.105369695), ('Age', 0.068519141), ('Occupation', 0.048468385), ('Sex', 0.025621219), ('Workclass', 0.014628311), ('Hours_per_week', 0.012874982), ('Native_country', 0.012845514), ('Race', 0.002415008), ('Marital_status', 0.00105655)]"
"[('Education', 0.105533459), ('Age', 0.068190467), ('Occupation', 0.04823815), ('Sex', 0.025609508), ('Workclass', 0.01458709), ('Native_country', 0.013030436), ('Hours_per_week', 0.012702592), ('Race', 0.002480658), ('Marital_status', 0.000960066)]"
"[('Education', 0.105533459), ('Age', 0.068812005), ('Occupation', 0.048345169), ('Sex', 0.025581143), ('Workclass', 0.01458709), ('Hours_per_week', 0.012874982), ('Native_country', 0.012845514), ('Race', 0.002414535), ('Marital_status', 0.001626833)]"
"[('Education', 0.105313633), ('Age', 0.068120782), ('Occupation', 0.048290717), ('Sex', 0.025918915), ('Workclass', 0.01458709), ('Native_country', 0.012986119), ('Hours_per_week', 0.012805873), ('Marital_status', 0.002324965), ('Race', 0.002279544)]"
"[('Education', 0.105533459), ('Age', 0.068266527), ('Occupation', 0.048345169), ('Sex', 0.025405192), ('Workclass', 0.014582647), ('Native_country', 0.012965763), ('Hours_per_week', 0.012930684), ('Race', 0.002414535), ('Marital_status', 0.000751705)]"
"[('Education', 0.105611971), ('Age', 0.068635999), ('Occupation', 0.048345169), ('Sex', 0.025581143), ('Workclass', 0.014870017), ('Hours_per_week', 0.012874982), ('Native_country', 0.012845514), ('Race', 0.002414535), ('Marital_status', 0.00140352)]"
"[('Education', 0.105384936), ('Age', 0.068126969), ('Occupation', 0.048493693), ('Sex', 0.025540555), ('Workclass', 0.01458709), ('Native_country', 0.012962392), ('Hours_per_week', 0.012798692), ('Race', 0.002414535), ('Marital_status', 0.0016241)]"
"[('Education', 0.104910786), ('Age', 0.068259673), ('Occupation', 0.048563427), ('Sex', 0.02572186), ('Workclass', 0.01458709), ('Hours_per_week', 0.013016199), ('Native_country', 0.012907466), ('Marital_status', 0.003002176), ('Race', 0.002475065)]"
"[('Education', 0.105740331), ('Age', 0.067595861), ('Occupation', 0.048357483), ('Sex', 0.025649638), ('Workclass', 0.014830982), ('Native_country', 0.013004015), ('Hours_per_week', 0.012760868), ('Marital_status', 0.002520635), ('Race', 0.002301652)]"
"[('Education', 0.105301498), ('Age', 0.068406356), ('Occupation', 0.048411389), ('Sex', 0.025904701), ('Workclass', 0.014625148), ('Hours_per_week', 0.012914375), ('Native_country', 0.012867375), ('Race', 0.002392006), ('Marital_status', 0.001565274)]"
"[('Education', 0.105227042), ('Age', 0.06859589), ('Occupation', 0.048701149), ('Sex', 0.025581143), ('Workclass', 0.014537528), ('Hours_per_week', 0.012874982), ('Native_country', 0.012845514), ('Race', 0.002414535), ('Marital_status', 0.002044284)]"
"[('Education', 0.105246737), ('Age', 0.068147571), ('Occupation', 0.048099436), ('Sex', 0.025790852), ('Workclass', 0.01458709), ('Native_country', 0.013039498), ('Hours_per_week', 0.012937989), ('Race', 0.00248029), ('Marital_status', 0.002242348)]"
"[('Education', 0.105248665), ('Age', 0.067510457), ('Occupation', 0.048651652), ('Sex', 0.025636648), ('Workclass', 0.01460496), ('Native_country', 0.013146871), ('Hours_per_week', 0.012953989), ('Race', 0.002367582), ('Marital_status', 0.001774575)]"
"[('Education', 0.105533459), ('Age', 0.068805281), ('Occupation', 0.048345169), ('Sex', 0.025581143), ('Workclass', 0.01458709), ('Hours_per_week', 0.012874982), ('Native_country', 0.012845514), ('Marital_status', 0.002847092), ('Race', 0.002414535)]"
"[('Education', 0.105822721), ('Age', 0.068310125), ('Occupation', 0.048345169), ('Sex', 0.025581143), ('Workclass', 0.01443137), ('Hours_per_week', 0.012874982), ('Native_country', 0.012845514), ('Race', 0.002414535), ('Marital_status', 0.001001111)]"
"[('Education', 0.105208353), ('Age', 0.06766663), ('Occupation', 0.047897127), ('Sex', 0.025631983), ('Workclass', 0.01458709), ('Native_country', 0.013495742), ('Hours_per_week', 0.013053176), ('Race', 0.002308421), ('Marital_status', 0.001544053)]"
"[('Education', 0.105501851), ('Age', 0.068215329), ('Occupation', 0.048376778), ('Sex', 0.025581143), ('Workclass', 0.01458709), ('Hours_per_week', 0.012874982), ('Native_country', 0.012845514), ('Race', 0.002414535), ('Marital_status', 0.001456287)]"
"[('Education', 0.104966234), ('Age', 0.068206743), ('Occupation', 0.048615899), ('Sex', 0.025682318), ('Workclass', 0.01458709), ('Native_country', 0.013068636), ('Hours_per_week', 0.012784169), ('Race', 0.002477548), ('Marital_status', 0.002102401)]"
"[('Education', 0.105533459), ('Age', 0.067808113), ('Occupation', 0.048034407), ('Sex', 0.025508508), ('Workclass', 0.01458709), ('Native_country', 0.013277755), ('Hours_per_week', 0.012922213), ('Race', 0.00231846), ('Marital_status', 0.000731993)]"
"[('Education', 0.105444736), ('Age', 0.068501365), ('Occupation', 0.048318684), ('Sex', 0.025753939), ('Workclass', 0.014504788), ('Hours_per_week', 0.012967181), ('Native_country', 0.012845514), ('Race', 0.00243418), ('Marital_status', 0.000924731)]"
"[('Education', 0.10551962), ('Age', 0.068952367), ('Occupation', 0.048713758), ('Sex', 0.026483542), ('Workclass', 0.014597925), ('Hours_per_week', 0.013026254), ('Native_country', 0.012849307), ('Marital_status', 0.003976092), ('Race', 0.001357071)]"
"[('Education', 0.105037229), ('Age', 0.067609278), ('Occupation', 0.047881846), ('Sex', 0.025864562), ('Workclass', 0.01458709), ('Native_country', 0.013526539), ('Hours_per_week', 0.013061257), ('Race', 0.00222337), ('Marital_status', 0.001073293)]"
"[('Education', 0.106354011), ('Age', 0.067788361), ('Occupation', 0.048970368), ('Sex', 0.025581143), ('Workclass', 0.014277471), ('Hours_per_week', 0.012874982), ('Native_country', 0.012845514), ('Marital_status', 0.002654347), ('Race', 0.002414535)]"
"[('Education', 0.106037733), ('Age', 0.068730669), ('Occupation', 0.048345169), ('Sex', 0.025581143), ('Workclass', 0.014673506), ('Hours_per_week', 0.012874982), ('Native_country', 0.012845514), ('Race', 0.002414535), ('Marital_status', 0.00138793)]"
"[('Education', 0.105533459), ('Age', 0.068514), ('Occupation', 0.048345169), ('Sex', 0.025581143), ('Workclass', 0.01458709), ('Hours_per_week', 0.012874982), ('Native_country', 0.012845514), ('Race', 0.002414535), ('Marital_status', 0.002031151)]"
"[('Education', 0.105533459), ('Age', 0.068599635), ('Occupation', 0.047802683), ('Sex', 0.026176706), ('Workclass', 0.014728203), ('Hours_per_week', 0.012874982), ('Native_country', 0.012845514), ('Marital_status', 0.003599451), ('Race', 0.002361458)]"
"[('Education', 0.105654564), ('Age', 0.068435457), ('Occupation', 0.048194727), ('Sex', 0.026633984), ('Workclass', 0.014827111), ('Native_country', 0.013298765), ('Hours_per_week', 0.012432057), ('Marital_status', 0.001623531), ('Race', 0.00150181)]"
"[('Education', 0.105533459), ('Age', 0.06763739), ('Occupation', 0.047948255), ('Sex', 0.025108483), ('Workclass', 0.01458709), ('Native_country', 0.013432687), ('Hours_per_week', 0.01317845), ('Race', 0.002393468), ('Marital_status', 0.001929022)]"
"[('Education', 0.105404556), ('Age', 0.068188535), ('Occupation', 0.048318393), ('Sex', 0.025703342), ('Workclass', 0.01458709), ('Hours_per_week', 0.012874982), ('Native_country', 0.012845514), ('Race', 0.002448015), ('Marital_status', 0.001685313)]"
"[('Education', 0.105533459), ('Age', 0.068733671), ('Occupation', 0.048345169), ('Sex', 0.025581143), ('Workclass', 0.014656733), ('Hours_per_week', 0.012874982), ('Native_country', 0.012845514), ('Race', 0.002414535), ('Marital_status', 0.002220286)]"
"[('Education', 0.105718566), ('Age', 0.068279287), ('Occupation', 0.048595543), ('Sex', 0.025727828), ('Workclass', 0.014577221), ('Hours_per_week', 0.012874982), ('Native_country', 0.012845514), ('Marital_status', 0.00253058), ('Race', 0.002399488)]"
"[('Education', 0.105533459), ('Age', 0.068487419), ('Occupation', 0.048325581), ('Sex', 0.025467927), ('Workclass', 0.014361755), ('Native_country', 0.013167911), ('Hours_per_week', 0.012819006), ('Marital_status', 0.0034307), ('Race', 0.002280918)]"
"[('Education', 0.105533459), ('Age', 0.067790846), ('Occupation', 0.048087371), ('Sex', 0.025768322), ('Workclass', 0.01458709), ('Native_country', 0.013068725), ('Hours_per_week', 0.012950366), ('Race', 0.002186558), ('Marital_status', 0.001502657)]"
"[('Education', 0.105593991), ('Age', 0.068312377), ('Occupation', 0.048434345), ('Sex', 0.025581143), ('Workclass', 0.01460016), ('Hours_per_week', 0.012874982), ('Native_country', 0.012845514), ('Race', 0.002414535), ('Marital_status', 0.000778841)]"
"[('Education', 0.105533459), ('Age', 0.068163293), ('Occupation', 0.048180137), ('Sex', 0.025854876), ('Workclass', 0.01458709), ('Native_country', 0.013313355), ('Hours_per_week', 0.012432057), ('Marital_status', 0.002511005), ('Race', 0.002280918)]"
"[('Education', 0.105478257), ('Age', 0.067900253), ('Occupation', 0.049026186), ('Sex', 0.025581143), ('Workclass', 0.014145675), ('Hours_per_week', 0.012874982), ('Native_country', 0.012845514), ('Race', 0.002414535), ('Marital_status', 0.002378246)]"
"[('Education', 0.105525542), ('Age', 0.068200881), ('Occupation', 0.047837007), ('Sex', 0.025875599), ('Workclass', 0.014757998), ('Native_country', 0.01304313), ('Hours_per_week', 0.012920911), ('Marital_status', 0.002887838), ('Race', 0.002392613)]"
"[('Education', 0.105583295), ('Age', 0.068030295), ('Occupation', 0.048441469), ('Sex', 0.025566901), ('Workclass', 0.014574995), ('Native_country', 0.01287399), ('Hours_per_week', 0.012864637), ('Race', 0.00242004), ('Marital_status', 0.00022555)]"
"[('Education', 0.105533459), ('Age', 0.068081767), ('Occupation', 0.048345169), ('Sex', 0.025581143), ('Workclass', 0.01458709), ('Native_country', 0.012872441), ('Hours_per_week', 0.012848055), ('Race', 0.002414535), ('Marital_status', 0.001887538)]"
"[('Education', 0.106296482), ('Age', 0.068548679), ('Occupation', 0.048345169), ('Sex', 0.025581143), ('Workclass', 0.014515956), ('Hours_per_week', 0.012874982), ('Native_country', 0.012845514), ('Marital_status', 0.003164042), ('Race', 0.002414535)]"
"[('Education', 0.105533459), ('Age', 0.068457048), ('Occupation', 0.048345169), ('Sex', 0.025581143), ('Workclass', 0.01458709), ('Native_country', 0.01286153), ('Hours_per_week', 0.012858966), ('Race', 0.002414535), ('Marital_status', 0.001592474)]"
"[('Education', 0.105533459), ('Age', 0.068344328), ('Occupation', 0.048256931), ('Sex', 0.025689707), ('Workclass', 0.014504846), ('Native_country', 0.012975242), ('Hours_per_week', 0.012764256), ('Marital_status', 0.002809612), ('Race', 0.002375207)]"
