0
"[('Marital_status', 0.159869513), ('Education', 0.108640379), ('Age', 0.065683302), ('Native_country', 0.013728853), ('Workclass', 0.013662802), ('Hours_per_week', 0.012671942), ('Occupation', 0.003927809), ('Race', 0.001852459), ('Sex', 0.000705572)]"
"[('Marital_status', 0.160588548), ('Education', 0.108580622), ('Age', 0.065142838), ('Native_country', 0.013951244), ('Workclass', 0.013880381), ('Hours_per_week', 0.012339577), ('Occupation', 0.004839351), ('Race', 0.002104092), ('Sex', 0.00062367)]"
"[('Marital_status', 0.160270385), ('Education', 0.10964679), ('Age', 0.064832806), ('Native_country', 0.0139513), ('Workclass', 0.013593247), ('Hours_per_week', 0.012016205), ('Race', 0.001817775), ('Occupation', 0.001509047), ('Sex', 0.000772674)]"
"[('Marital_status', 0.158823926), ('Education', 0.109495072), ('Age', 0.064274247), ('Hours_per_week', 0.014997258), ('Native_country', 0.013679142), ('Workclass', 0.013348099), ('Occupation', 0.004946496), ('Race', 0.002094692), ('Sex', 0.000498536)]"
"[('Marital_status', 0.160225278), ('Education', 0.109480756), ('Age', 0.065347484), ('Native_country', 0.013547907), ('Workclass', 0.013460002), ('Hours_per_week', 0.012437756), ('Occupation', 0.002181221), ('Race', 0.002144976), ('Sex', 0.000566812)]"
"[('Marital_status', 0.160324229), ('Education', 0.108190855), ('Age', 0.064608261), ('Native_country', 0.01456761), ('Workclass', 0.01377019), ('Hours_per_week', 0.011960459), ('Occupation', 0.004325397), ('Race', 0.002068643), ('Sex', 0.000883242)]"
"[('Marital_status', 0.16064687), ('Education', 0.110561387), ('Age', 0.064499285), ('Native_country', 0.013547907), ('Workclass', 0.013235995), ('Hours_per_week', 0.011916478), ('Occupation', 0.004734981), ('Race', 0.002062426), ('Sex', 0.000740624)]"
"[('Marital_status', 0.161589945), ('Education', 0.109603117), ('Age', 0.064051618), ('Workclass', 0.013772607), ('Native_country', 0.013547907), ('Hours_per_week', 0.011916478), ('Race', 0.001988676), ('Occupation', 0.001776834), ('Sex', 0.000740624)]"
"[('Marital_status', 0.161714964), ('Education', 0.109900994), ('Age', 0.063660378), ('Workclass', 0.013971328), ('Native_country', 0.013547907), ('Hours_per_week', 0.011916478), ('Occupation', 0.00254613), ('Race', 0.001706988), ('Sex', 0.000740624)]"
"[('Marital_status', 0.160579541), ('Education', 0.109505492), ('Age', 0.064974242), ('Native_country', 0.013547907), ('Workclass', 0.013320045), ('Hours_per_week', 0.012601497), ('Occupation', 0.002750188), ('Race', 0.002176613), ('Sex', 0.000505635)]"
"[('Marital_status', 0.158241381), ('Education', 0.10698436), ('Age', 0.063965665), ('Native_country', 0.015245002), ('Workclass', 0.014225626), ('Hours_per_week', 0.012973131), ('Occupation', 0.004929943), ('Race', 0.002690568), ('Sex', 0.001474347)]"
