0
"[('Marital_status', 0.194538879), ('Education', 0.108640884), ('Occupation', 0.024314654), ('Workclass', 0.021653266), ('Native_country', 0.016042299), ('Hours_per_week', 0.009856312), ('Race', 0.004500904), ('Sex', 0.00347698), ('Age', 0.000568434)]"
"[('Marital_status', 0.194712768), ('Education', 0.108581654), ('Occupation', 0.024192075), ('Workclass', 0.021783088), ('Native_country', 0.015921916), ('Hours_per_week', 0.009819136), ('Race', 0.00451946), ('Sex', 0.003498679), ('Age', 7.42e-06)]"
"[('Marital_status', 0.194844348), ('Education', 0.108549451), ('Occupation', 0.023910996), ('Workclass', 0.021813851), ('Native_country', 0.015926606), ('Hours_per_week', 0.009585086), ('Race', 0.004557717), ('Sex', 0.00351534), ('Age', 0.001059881)]"
"[('Marital_status', 0.194710807), ('Education', 0.108582379), ('Occupation', 0.024179636), ('Workclass', 0.021779554), ('Native_country', 0.015926773), ('Hours_per_week', 0.009821336), ('Race', 0.00452166), ('Sex', 0.003501551), ('Age', 2.68e-06)]"
"[('Marital_status', 0.195185412), ('Education', 0.108191131), ('Occupation', 0.024296548), ('Workclass', 0.021769933), ('Native_country', 0.016115287), ('Hours_per_week', 0.009774638), ('Race', 0.004442681), ('Sex', 0.003421543), ('Age', 0.000743409)]"
"[('Marital_status', 0.195007272), ('Education', 0.108176891), ('Occupation', 0.024436608), ('Workclass', 0.021798338), ('Native_country', 0.015959577), ('Hours_per_week', 0.009797446), ('Race', 0.004498232), ('Sex', 0.003466617), ('Age', 0.000623817)]"
"[('Marital_status', 0.194755291), ('Education', 0.108641135), ('Occupation', 0.02428777), ('Workclass', 0.021708648), ('Native_country', 0.015893916), ('Hours_per_week', 0.009837834), ('Race', 0.004499161), ('Sex', 0.003470323), ('Age', 9.92e-05)]"
"[('Marital_status', 0.19477743), ('Education', 0.108639748), ('Occupation', 0.024160667), ('Workclass', 0.021772777), ('Native_country', 0.015905146), ('Hours_per_week', 0.009810842), ('Race', 0.004503928), ('Sex', 0.003481553), ('Age', 4.85e-05)]"
"[('Marital_status', 0.194704237), ('Education', 0.108594416), ('Occupation', 0.024175835), ('Workclass', 0.021767086), ('Native_country', 0.015924055), ('Hours_per_week', 0.009821674), ('Race', 0.004520926), ('Sex', 0.00350089), ('Age', 1.26e-05)]"
"[('Marital_status', 0.195490626), ('Education', 0.109266295), ('Occupation', 0.024164105), ('Workclass', 0.021562645), ('Native_country', 0.015765755), ('Hours_per_week', 0.009808001), ('Race', 0.004289387), ('Sex', 0.003212425), ('Age', 0.000602284)]"
"[('Marital_status', 0.194886503), ('Education', 0.108662464), ('Occupation', 0.024132604), ('Workclass', 0.021749544), ('Native_country', 0.015877084), ('Hours_per_week', 0.009839566), ('Race', 0.004495226), ('Sex', 0.00345352), ('Age', 7.54e-05)]"
"[('Marital_status', 0.194803937), ('Education', 0.10869426), ('Occupation', 0.024132264), ('Workclass', 0.021776878), ('Native_country', 0.01596227), ('Hours_per_week', 0.009773644), ('Race', 0.004490074), ('Sex', 0.00345283), ('Age', 0.000136666)]"
"[('Marital_status', 0.194697815), ('Education', 0.10838504), ('Occupation', 0.024144328), ('Workclass', 0.02176005), ('Native_country', 0.01592392), ('Hours_per_week', 0.00981861), ('Race', 0.004521441), ('Sex', 0.003500104), ('Age', 0.000270229)]"
"[('Marital_status', 0.195967822), ('Education', 0.108743793), ('Occupation', 0.024071142), ('Workclass', 0.021639433), ('Native_country', 0.015710333), ('Hours_per_week', 0.009607554), ('Race', 0.004307878), ('Sex', 0.00328674), ('Age', 0.000939138)]"
"[('Marital_status', 0.195031325), ('Education', 0.10856773), ('Occupation', 0.0241308), ('Workclass', 0.021710036), ('Native_country', 0.015913653), ('Hours_per_week', 0.0097725), ('Race', 0.004497172), ('Sex', 0.003451686), ('Age', 0.000179888)]"
"[('Marital_status', 0.194902304), ('Education', 0.108500299), ('Occupation', 0.024176659), ('Workclass', 0.021739823), ('Native_country', 0.015926294), ('Hours_per_week', 0.009809051), ('Race', 0.004509375), ('Sex', 0.003497657), ('Age', 0.000182983)]"
"[('Marital_status', 0.194701572), ('Education', 0.108593393), ('Occupation', 0.024166523), ('Workclass', 0.021778089), ('Native_country', 0.015874745), ('Hours_per_week', 0.009822931), ('Race', 0.004521954), ('Sex', 0.003503968), ('Age', 7.87e-05)]"
"[('Marital_status', 0.195113605), ('Education', 0.107836214), ('Occupation', 0.024582214), ('Workclass', 0.021845639), ('Native_country', 0.015949583), ('Hours_per_week', 0.009783264), ('Race', 0.004474987), ('Sex', 0.0034576), ('Age', 0.001097677)]"
"[('Marital_status', 0.194604105), ('Education', 0.108604312), ('Occupation', 0.024094959), ('Workclass', 0.021772807), ('Native_country', 0.01591279), ('Hours_per_week', 0.009871854), ('Race', 0.004516673), ('Sex', 0.003505736), ('Age', 0.000872683)]"
"[('Marital_status', 0.19469989), ('Education', 0.108569738), ('Occupation', 0.02418666), ('Workclass', 0.021762319), ('Native_country', 0.015926626), ('Hours_per_week', 0.009811589), ('Race', 0.004516427), ('Sex', 0.003506642), ('Age', 4.99e-05)]"
"[('Marital_status', 0.195681847), ('Education', 0.108045358), ('Occupation', 0.024127412), ('Workclass', 0.021814095), ('Native_country', 0.015872453), ('Hours_per_week', 0.009710244), ('Race', 0.004484944), ('Sex', 0.00338943), ('Age', 0.000409156)]"
"[('Marital_status', 0.195866416), ('Education', 0.108045721), ('Occupation', 0.024191985), ('Workclass', 0.021682736), ('Native_country', 0.015825116), ('Hours_per_week', 0.009753545), ('Race', 0.004465356), ('Sex', 0.003358377), ('Age', 0.000411417)]"
"[('Marital_status', 0.194718902), ('Education', 0.108412813), ('Occupation', 0.024058849), ('Workclass', 0.021835252), ('Native_country', 0.016073972), ('Hours_per_week', 0.009844292), ('Race', 0.004546989), ('Sex', 0.003467537), ('Age', 0.00093179)]"
"[('Marital_status', 0.194625933), ('Education', 0.108598545), ('Occupation', 0.024181871), ('Workclass', 0.021738169), ('Native_country', 0.015953194), ('Hours_per_week', 0.009859244), ('Race', 0.004519909), ('Sex', 0.003485788), ('Age', 0.000108947)]"
"[('Marital_status', 0.194719617), ('Education', 0.108587116), ('Occupation', 0.024176065), ('Workclass', 0.021781833), ('Native_country', 0.015920544), ('Hours_per_week', 0.00982277), ('Race', 0.004519474), ('Sex', 0.003496979), ('Age', 5.62e-06)]"
"[('Marital_status', 0.194775778), ('Education', 0.108538055), ('Occupation', 0.024140661), ('Workclass', 0.021813341), ('Native_country', 0.016052061), ('Hours_per_week', 0.009663128), ('Race', 0.004443658), ('Sex', 0.00346501), ('Age', 0.000663098)]"
"[('Marital_status', 0.194814642), ('Education', 0.10852331), ('Occupation', 0.024176361), ('Workclass', 0.021707176), ('Native_country', 0.0159722), ('Hours_per_week', 0.009837729), ('Race', 0.004518385), ('Sex', 0.003505169), ('Age', 9.47e-05)]"
"[('Marital_status', 0.194739782), ('Education', 0.108572763), ('Occupation', 0.024183333), ('Workclass', 0.021793772), ('Native_country', 0.01591711), ('Hours_per_week', 0.009814331), ('Race', 0.004514655), ('Sex', 0.003499595), ('Age', 2.91e-05)]"
"[('Marital_status', 0.19457947), ('Education', 0.108574746), ('Occupation', 0.024181272), ('Workclass', 0.021776288), ('Native_country', 0.015925676), ('Hours_per_week', 0.009815867), ('Race', 0.004520154), ('Sex', 0.00350218), ('Age', 0.000146565)]"
"[('Marital_status', 0.19466846), ('Education', 0.108640919), ('Occupation', 0.024225696), ('Workclass', 0.021790432), ('Native_country', 0.015898349), ('Hours_per_week', 0.009848973), ('Race', 0.004516287), ('Sex', 0.003474755), ('Age', 4.59e-05)]"
"[('Marital_status', 0.194709352), ('Education', 0.108568635), ('Occupation', 0.024040919), ('Workclass', 0.021784604), ('Native_country', 0.015880441), ('Hours_per_week', 0.009759081), ('Race', 0.004528469), ('Sex', 0.003494568), ('Age', 0.000372191)]"
