0
"[('Marital_status', 0.160904227), ('Education', 0.109675093), ('Age', 0.065159476), ('Occupation', 0.024283232), ('Native_country', 0.013625172), ('Workclass', 0.01354103), ('Race', 0.001430497), ('Sex', 0.000499022), ('Hours_per_week', 9.47e-05)]"
"[('Marital_status', 0.160862106), ('Education', 0.109640062), ('Age', 0.065206717), ('Occupation', 0.024414303), ('Native_country', 0.013633624), ('Workclass', 0.013482424), ('Race', 0.001400373), ('Sex', 0.000483262), ('Hours_per_week', 0.000255407)]"
"[('Marital_status', 0.16077429), ('Education', 0.109558867), ('Age', 0.065000341), ('Occupation', 0.024210827), ('Native_country', 0.013782368), ('Workclass', 0.013600562), ('Race', 0.001351), ('Sex', 0.000661699), ('Hours_per_week', 0.000216346)]"
"[('Marital_status', 0.160823026), ('Education', 0.109353997), ('Age', 0.065182918), ('Occupation', 0.024526703), ('Native_country', 0.013730655), ('Workclass', 0.013605823), ('Race', 0.001406439), ('Sex', 0.000495223), ('Hours_per_week', 0.000282683)]"
"[('Marital_status', 0.160696772), ('Education', 0.109502829), ('Age', 0.064882507), ('Occupation', 0.024125598), ('Native_country', 0.013799699), ('Workclass', 0.013753455), ('Race', 0.001377084), ('Sex', 0.000742998), ('Hours_per_week', 0.000352519)]"
"[('Marital_status', 0.160916341), ('Education', 0.109687207), ('Age', 0.06488221), ('Occupation', 0.024051699), ('Native_country', 0.01377054), ('Workclass', 0.013625514), ('Race', 0.001335286), ('Sex', 0.000668284), ('Hours_per_week', 0.000250918)]"
"[('Marital_status', 0.160834164), ('Education', 0.109477081), ('Age', 0.065106878), ('Occupation', 0.02459687), ('Native_country', 0.013707627), ('Workclass', 0.013490967), ('Race', 0.001427934), ('Sex', 0.000483262), ('Hours_per_week', 0.000311926)]"
"[('Marital_status', 0.16089257), ('Education', 0.109671025), ('Age', 0.065140334), ('Occupation', 0.024368562), ('Native_country', 0.013625761), ('Workclass', 0.013537301), ('Race', 0.001405969), ('Sex', 0.000483262), ('Hours_per_week', 4.18e-05)]"
"[('Marital_status', 0.160615563), ('Education', 0.109440854), ('Age', 0.065190252), ('Occupation', 0.024789946), ('Native_country', 0.013650207), ('Workclass', 0.013568761), ('Race', 0.001385939), ('Sex', 0.000483262), ('Hours_per_week', 0.000402378)]"
"[('Marital_status', 0.160674693), ('Education', 0.109077262), ('Age', 0.065131057), ('Occupation', 0.025122722), ('Native_country', 0.013618284), ('Workclass', 0.013604058), ('Race', 0.001403643), ('Hours_per_week', 0.000575311), ('Sex', 0.000493065)]"
"[('Marital_status', 0.160057072), ('Education', 0.10936662), ('Age', 0.064974649), ('Occupation', 0.023917973), ('Native_country', 0.014316536), ('Workclass', 0.013556072), ('Race', 0.001550314), ('Hours_per_week', 0.001045454), ('Sex', 0.000949527)]"
"[('Marital_status', 0.160954137), ('Education', 0.109688203), ('Age', 0.065105026), ('Occupation', 0.024290992), ('Native_country', 0.013628345), ('Workclass', 0.013540034), ('Race', 0.001404173), ('Sex', 0.0005023), ('Hours_per_week', 5e-05)]"
"[('Marital_status', 0.160899295), ('Education', 0.109670161), ('Age', 0.065121121), ('Occupation', 0.024308268), ('Native_country', 0.013643552), ('Workclass', 0.01354103), ('Race', 0.001346304), ('Sex', 0.000544731), ('Hours_per_week', 0.000184639)]"
"[('Marital_status', 0.160916341), ('Education', 0.109719591), ('Age', 0.065150638), ('Occupation', 0.024310817), ('Native_country', 0.013618284), ('Workclass', 0.013508646), ('Race', 0.001407488), ('Sex', 0.00048922), ('Hours_per_week', 5.34e-05)]"
"[('Marital_status', 0.1610015), ('Education', 0.109419344), ('Age', 0.065069237), ('Occupation', 0.024517857), ('Native_country', 0.013690416), ('Workclass', 0.01354103), ('Race', 0.001384415), ('Sex', 0.000500984), ('Hours_per_week', 0.000490949)]"
"[('Marital_status', 0.160900829), ('Education', 0.109683677), ('Age', 0.065164451), ('Occupation', 0.024317979), ('Native_country', 0.013625176), ('Workclass', 0.013534505), ('Race', 0.00141105), ('Sex', 0.000487117), ('Hours_per_week', 1.24e-05)]"
"[('Marital_status', 0.160929915), ('Education', 0.109687207), ('Age', 0.065127504), ('Occupation', 0.024310817), ('Native_country', 0.013618284), ('Workclass', 0.01354103), ('Race', 0.001400271), ('Sex', 0.000496437), ('Hours_per_week', 1.38e-05)]"
"[('Marital_status', 0.160910038), ('Education', 0.109680904), ('Age', 0.065160699), ('Occupation', 0.024317121), ('Native_country', 0.013622773), ('Workclass', 0.01354103), ('Race', 0.001408957), ('Sex', 0.000483262), ('Hours_per_week', 1.45e-05)]"
"[('Marital_status', 0.160970417), ('Education', 0.109444189), ('Age', 0.064727162), ('Occupation', 0.024072799), ('Native_country', 0.013909416), ('Workclass', 0.013675352), ('Race', 0.001370875), ('Sex', 0.000715739), ('Hours_per_week', 0.000531949)]"
"[('Marital_status', 0.161035567), ('Education', 0.109582812), ('Age', 0.064773656), ('Occupation', 0.024089379), ('Native_country', 0.013819306), ('Workclass', 0.01362629), ('Race', 0.001352459), ('Sex', 0.000669061), ('Hours_per_week', 0.000338041)]"
"[('Marital_status', 0.160743955), ('Education', 0.109708757), ('Age', 0.065130273), ('Occupation', 0.024483203), ('Native_country', 0.013618284), ('Workclass', 0.013543603), ('Race', 0.001393157), ('Sex', 0.000503551), ('Hours_per_week', 0.000197523)]"
"[('Marital_status', 0.160916341), ('Education', 0.109960031), ('Age', 0.064665765), ('Occupation', 0.024118229), ('Native_country', 0.01375474), ('Workclass', 0.013584128), ('Hours_per_week', 0.001578418), ('Race', 0.001361163), ('Sex', 0.000591678)]"
"[('Marital_status', 0.160673312), ('Education', 0.109624377), ('Age', 0.064861576), ('Occupation', 0.024109681), ('Native_country', 0.013868956), ('Workclass', 0.013649701), ('Race', 0.001364334), ('Sex', 0.000725869), ('Hours_per_week', 0.000251451)]"
"[('Marital_status', 0.160761827), ('Education', 0.109507599), ('Age', 0.065217102), ('Occupation', 0.024551823), ('Native_country', 0.013618284), ('Workclass', 0.01357144), ('Race', 0.001395757), ('Sex', 0.000500952), ('Hours_per_week', 0.000161474)]"
"[('Marital_status', 0.160820933), ('Education', 0.109948281), ('Age', 0.064873998), ('Occupation', 0.0241856), ('Native_country', 0.013783765), ('Workclass', 0.013500542), ('Race', 0.001416579), ('Sex', 0.000535274), ('Hours_per_week', 0.000411205)]"
"[('Marital_status', 0.160917116), ('Education', 0.109687207), ('Age', 0.06515089), ('Occupation', 0.024310817), ('Native_country', 0.013618284), ('Workclass', 0.01354103), ('Race', 0.001408957), ('Sex', 0.000487752), ('Hours_per_week', 3.19e-06)]"
"[('Marital_status', 0.16078588), ('Education', 0.109497174), ('Age', 0.065172544), ('Occupation', 0.024292803), ('Native_country', 0.013779199), ('Workclass', 0.01354103), ('Race', 0.001360307), ('Sex', 0.000583534), ('Hours_per_week', 0.000190122)]"
"[('Marital_status', 0.160865219), ('Education', 0.109357526), ('Age', 0.065205518), ('Occupation', 0.024640498), ('Native_country', 0.013618284), ('Workclass', 0.01354103), ('Race', 0.001408957), ('Hours_per_week', 0.00094499), ('Sex', 0.000487752)]"
"[('Marital_status', 0.160678693), ('Education', 0.109499281), ('Age', 0.065234555), ('Occupation', 0.024724937), ('Native_country', 0.013691916), ('Workclass', 0.013472326), ('Race', 0.001339814), ('Sex', 0.000483262), ('Hours_per_week', 0.000293287)]"
"[('Marital_status', 0.160889139), ('Education', 0.109719716), ('Age', 0.065085241), ('Occupation', 0.024299233), ('Native_country', 0.013649808), ('Workclass', 0.013519989), ('Race', 0.00136104), ('Sex', 0.00054293), ('Hours_per_week', 6.82e-05)]"
"[('Marital_status', 0.160787983), ('Education', 0.109697514), ('Age', 0.065056941), ('Occupation', 0.024227777), ('Native_country', 0.013734621), ('Workclass', 0.01348864), ('Race', 0.001364196), ('Sex', 0.000627574), ('Hours_per_week', 0.000217829)]"
"[('Marital_status', 0.160859093), ('Education', 0.109663604), ('Age', 0.065001578), ('Occupation', 0.024284574), ('Native_country', 0.013780088), ('Workclass', 0.013508321), ('Race', 0.001363789), ('Sex', 0.000571363), ('Hours_per_week', 0.000174039)]"
"[('Marital_status', 0.160504015), ('Education', 0.10908072), ('Age', 0.065366558), ('Occupation', 0.024957614), ('Native_country', 0.01377832), ('Workclass', 0.013562657), ('Race', 0.001391638), ('Hours_per_week', 0.000537097), ('Sex', 0.000483262)]"
"[('Marital_status', 0.160893021), ('Education', 0.109665419), ('Age', 0.06515329), ('Occupation', 0.024359345), ('Native_country', 0.013618284), ('Workclass', 0.013538718), ('Race', 0.001408957), ('Sex', 0.000487752), ('Hours_per_week', 2.98e-05)]"
"[('Marital_status', 0.160916341), ('Education', 0.109687207), ('Age', 0.065136254), ('Occupation', 0.024304243), ('Native_country', 0.013618284), ('Workclass', 0.01354103), ('Race', 0.001387883), ('Sex', 0.000515399), ('Hours_per_week', 0.000144116)]"
"[('Marital_status', 0.160866934), ('Education', 0.109675089), ('Age', 0.065203803), ('Occupation', 0.024360224), ('Native_country', 0.013618284), ('Workclass', 0.013503741), ('Race', 0.001408957), ('Sex', 0.000487752), ('Hours_per_week', 9.63e-05)]"
"[('Marital_status', 0.160856076), ('Education', 0.109619829), ('Age', 0.06515221), ('Occupation', 0.024399796), ('Native_country', 0.013658017), ('Workclass', 0.013547687), ('Race', 0.00140405), ('Sex', 0.000487119), ('Hours_per_week', 6.54e-05)]"
"[('Marital_status', 0.160535159), ('Education', 0.109703561), ('Age', 0.065088187), ('Occupation', 0.024691999), ('Native_country', 0.013618284), ('Workclass', 0.013590884), ('Race', 0.001408957), ('Sex', 0.000487752), ('Hours_per_week', 0.000463169)]"
"[('Marital_status', 0.160941793), ('Education', 0.109683077), ('Age', 0.065078847), ('Occupation', 0.024288532), ('Native_country', 0.013637258), ('Workclass', 0.013581232), ('Race', 0.001417546), ('Sex', 0.000496499), ('Hours_per_week', 5.14e-05)]"
"[('Marital_status', 0.160902625), ('Education', 0.109673491), ('Age', 0.065157539), ('Occupation', 0.024324533), ('Native_country', 0.013622773), ('Workclass', 0.013551603), ('Race', 0.001408957), ('Sex', 0.000483262), ('Hours_per_week', 4.5e-05)]"
"[('Marital_status', 0.160931425), ('Education', 0.109558025), ('Age', 0.065082087), ('Occupation', 0.024439999), ('Native_country', 0.013640493), ('Workclass', 0.013598255), ('Race', 0.001391237), ('Sex', 0.000483262), ('Hours_per_week', 0.000267899)]"
"[('Marital_status', 0.160815663), ('Education', 0.109702105), ('Age', 0.065148057), ('Occupation', 0.024396665), ('Native_country', 0.013623903), ('Workclass', 0.013532471), ('Race', 0.001422657), ('Sex', 0.000483262), ('Hours_per_week', 0.000119565)]"
"[('Marital_status', 0.160619468), ('Education', 0.109445077), ('Age', 0.065193587), ('Occupation', 0.024579484), ('Native_country', 0.013766388), ('Workclass', 0.013606902), ('Race', 0.001405813), ('Sex', 0.000508065), ('Hours_per_week', 0.000395218)]"
"[('Marital_status', 0.160449732), ('Education', 0.110091818), ('Age', 0.064807977), ('Occupation', 0.024299255), ('Native_country', 0.013871034), ('Workclass', 0.013350837), ('Hours_per_week', 0.001763205), ('Race', 0.001507058), ('Sex', 0.000615072)]"
"[('Marital_status', 0.160929292), ('Education', 0.109657779), ('Age', 0.064973865), ('Occupation', 0.024148024), ('Native_country', 0.013715048), ('Workclass', 0.013580082), ('Race', 0.001369313), ('Sex', 0.000622853), ('Hours_per_week', 0.000211733)]"
"[('Marital_status', 0.160412716), ('Education', 0.109354433), ('Age', 0.065141312), ('Occupation', 0.025014639), ('Workclass', 0.013686691), ('Native_country', 0.013630888), ('Race', 0.001400842), ('Hours_per_week', 0.000576222), ('Sex', 0.000483262)]"
"[('Marital_status', 0.160824864), ('Education', 0.10960965), ('Age', 0.06516394), ('Occupation', 0.024400921), ('Native_country', 0.013694097), ('Workclass', 0.013541162), ('Race', 0.001397972), ('Sex', 0.000492179), ('Hours_per_week', 8.2e-05)]"
"[('Marital_status', 0.160923841), ('Education', 0.109528604), ('Age', 0.065146895), ('Occupation', 0.024373438), ('Native_country', 0.013736558), ('Workclass', 0.01354103), ('Race', 0.001391154), ('Sex', 0.000483262), ('Hours_per_week', 0.000225745)]"
"[('Marital_status', 0.160912995), ('Education', 0.109683862), ('Age', 0.065157741), ('Occupation', 0.024314163), ('Native_country', 0.013618284), ('Workclass', 0.01354103), ('Race', 0.001408082), ('Sex', 0.000488627), ('Hours_per_week', 7.79e-06)]"
"[('Marital_status', 0.160856477), ('Education', 0.109660801), ('Age', 0.064938741), ('Occupation', 0.024125087), ('Native_country', 0.013799162), ('Workclass', 0.013681242), ('Race', 0.001361807), ('Sex', 0.000599618), ('Hours_per_week', 0.00025445)]"
