0
"[('Marital_status', 0.160916341), ('Education', 0.109687207), ('Age', 0.064926596), ('Occupation', 0.024144181), ('Native_country', 0.013792896), ('Workclass', 0.01354103), ('Hours_per_week', 0.009682606), ('Race', 0.001367526), ('Sex', 0.000537351)]"
"[('Marital_status', 0.160717071), ('Education', 0.109716795), ('Age', 0.064068834), ('Occupation', 0.023035784), ('Native_country', 0.014055617), ('Workclass', 0.013722987), ('Hours_per_week', 0.010270289), ('Race', 0.002282777), ('Sex', 0.000994614)]"
"[('Marital_status', 0.160349069), ('Education', 0.109339662), ('Age', 0.065533234), ('Occupation', 0.024868694), ('Native_country', 0.013732371), ('Workclass', 0.013257814), ('Hours_per_week', 0.009926374), ('Race', 0.003188736), ('Sex', 0.000448793)]"
"[('Marital_status', 0.160451506), ('Education', 0.109913232), ('Age', 0.064250768), ('Occupation', 0.02396941), ('Native_country', 0.014083861), ('Workclass', 0.01371695), ('Hours_per_week', 0.009891305), ('Race', 0.001308399), ('Sex', 0.000677294)]"
"[('Marital_status', 0.160874264), ('Education', 0.10964513), ('Age', 0.065196473), ('Occupation', 0.024352894), ('Workclass', 0.01354103), ('Native_country', 0.013518469), ('Hours_per_week', 0.009794622), ('Sex', 0.000533127), ('Race', 0.000243906)]"
"[('Marital_status', 0.160637503), ('Education', 0.109427809), ('Age', 0.065433234), ('Occupation', 0.024589655), ('Workclass', 0.013521591), ('Native_country', 0.013518469), ('Hours_per_week', 0.009794622), ('Sex', 0.000533127), ('Race', 0.000427049)]"
"[('Marital_status', 0.160916341), ('Education', 0.110046332), ('Age', 0.06468051), ('Occupation', 0.024310817), ('Native_country', 0.013820789), ('Workclass', 0.0134517), ('Hours_per_week', 0.009492301), ('Race', 0.001595485), ('Sex', 0.000533127)]"
"[('Marital_status', 0.161002679), ('Education', 0.109707104), ('Age', 0.065068058), ('Occupation', 0.024244105), ('Native_country', 0.013620895), ('Workclass', 0.013348081), ('Hours_per_week', 0.009904051), ('Race', 0.00108166), ('Sex', 0.000561037)]"
"[('Marital_status', 0.160526935), ('Education', 0.108828), ('Age', 0.065068058), ('Occupation', 0.024978947), ('Workclass', 0.013538586), ('Native_country', 0.013535209), ('Hours_per_week', 0.009920729), ('Race', 0.001261203), ('Sex', 0.000584908)]"
"[('Marital_status', 0.160190292), ('Education', 0.108379889), ('Age', 0.065341746), ('Occupation', 0.025785648), ('Workclass', 0.013639017), ('Native_country', 0.013610555), ('Hours_per_week', 0.009953047), ('Race', 0.002258487), ('Sex', 0.000555814)]"
"[('Marital_status', 0.16082786), ('Education', 0.109947257), ('Age', 0.064953282), ('Occupation', 0.024190975), ('Native_country', 0.013588399), ('Workclass', 0.013425319), ('Hours_per_week', 0.009929641), ('Race', 0.000999718), ('Sex', 0.000536501)]"
"[('Marital_status', 0.160714472), ('Education', 0.10952682), ('Age', 0.065207489), ('Occupation', 0.024516025), ('Native_country', 0.013840619), ('Workclass', 0.013614647), ('Hours_per_week', 0.009526678), ('Race', 0.001131376), ('Sex', 0.00050926)]"
"[('Marital_status', 0.160510569), ('Education', 0.10935699), ('Age', 0.064707847), ('Occupation', 0.023961058), ('Native_country', 0.014026834), ('Workclass', 0.01369607), ('Hours_per_week', 0.009947406), ('Race', 0.000755244), ('Sex', 0.000692161)]"
"[('Marital_status', 0.160894533), ('Education', 0.109089831), ('Age', 0.065098956), ('Occupation', 0.024193294), ('Native_country', 0.01371468), ('Workclass', 0.01354103), ('Hours_per_week', 0.010298589), ('Race', 0.001400738), ('Sex', 0.00054785)]"
"[('Marital_status', 0.161095384), ('Education', 0.109656229), ('Age', 0.064951556), ('Occupation', 0.024341795), ('Workclass', 0.01354103), ('Native_country', 0.013518469), ('Hours_per_week', 0.009803794), ('Race', 0.000676026), ('Sex', 0.000523955)]"
"[('Marital_status', 0.160445713), ('Education', 0.109372927), ('Age', 0.065166759), ('Occupation', 0.024384269), ('Native_country', 0.013992021), ('Workclass', 0.01345911), ('Hours_per_week', 0.00989219), ('Race', 0.000913232), ('Sex', 0.000509146)]"
"[('Marital_status', 0.160669108), ('Education', 0.109920134), ('Age', 0.065025114), ('Occupation', 0.024424608), ('Native_country', 0.013561171), ('Workclass', 0.013437209), ('Hours_per_week', 0.009846478), ('Race', 0.001194403), ('Sex', 0.000572188)]"
"[('Marital_status', 0.160918484), ('Education', 0.109641543), ('Age', 0.065117107), ('Occupation', 0.024356481), ('Native_country', 0.013570985), ('Workclass', 0.01354103), ('Hours_per_week', 0.009742105), ('Race', 0.000685433), ('Sex', 0.000533127)]"
"[('Marital_status', 0.160916341), ('Education', 0.109687207), ('Age', 0.06497987), ('Occupation', 0.024205523), ('Native_country', 0.013694822), ('Workclass', 0.01354103), ('Hours_per_week', 0.009721302), ('Sex', 0.000535388), ('Race', 0.000307018)]"
"[('Marital_status', 0.160084109), ('Education', 0.109161304), ('Age', 0.065040746), ('Occupation', 0.025707869), ('Workclass', 0.013615764), ('Native_country', 0.013518469), ('Hours_per_week', 0.009794622), ('Race', 0.001638451), ('Sex', 0.000533127)]"
"[('Marital_status', 0.161275379), ('Education', 0.109687207), ('Age', 0.064749244), ('Occupation', 0.024310707), ('Workclass', 0.01354103), ('Native_country', 0.013518469), ('Hours_per_week', 0.009798618), ('Race', 0.001692214), ('Sex', 0.000529242)]"
"[('Marital_status', 0.160272005), ('Education', 0.109369234), ('Age', 0.065092244), ('Occupation', 0.024912765), ('Workclass', 0.013884011), ('Native_country', 0.01353997), ('Hours_per_week', 0.009816008), ('Race', 0.001685631), ('Sex', 0.000569773)]"
"[('Marital_status', 0.160533281), ('Education', 0.109394248), ('Age', 0.065343998), ('Occupation', 0.024648611), ('Native_country', 0.013598), ('Workclass', 0.013543895), ('Hours_per_week', 0.009885088), ('Sex', 0.000508887), ('Race', 0.000401745)]"
"[('Marital_status', 0.160197536), ('Education', 0.108676949), ('Age', 0.065429545), ('Occupation', 0.025330636), ('Workclass', 0.013707364), ('Native_country', 0.013582155), ('Hours_per_week', 0.010028482), ('Race', 0.001204189), ('Sex', 0.000503342)]"
"[('Marital_status', 0.160916341), ('Education', 0.109687207), ('Age', 0.064423153), ('Occupation', 0.023610075), ('Native_country', 0.014109167), ('Workclass', 0.013863914), ('Hours_per_week', 0.009889742), ('Race', 0.002626999), ('Sex', 0.000548051)]"
"[('Marital_status', 0.160267202), ('Education', 0.109744558), ('Age', 0.064408331), ('Occupation', 0.024435939), ('Native_country', 0.013913285), ('Workclass', 0.013892183), ('Hours_per_week', 0.009880208), ('Race', 0.002125693), ('Sex', 0.000576743)]"
"[('Marital_status', 0.161020617), ('Education', 0.109485058), ('Age', 0.064800952), ('Occupation', 0.024340285), ('Native_country', 0.013666942), ('Workclass', 0.01354103), ('Hours_per_week', 0.009790062), ('Race', 0.000938323), ('Sex', 0.000561895)]"
"[('Marital_status', 0.160537727), ('Education', 0.109630426), ('Age', 0.065143068), ('Occupation', 0.024322669), ('Native_country', 0.013823176), ('Workclass', 0.013370909), ('Hours_per_week', 0.009830606), ('Race', 0.000595505), ('Sex', 0.000559199)]"
"[('Marital_status', 0.160186881), ('Education', 0.109231131), ('Age', 0.065533402), ('Occupation', 0.024566164), ('Native_country', 0.013882734), ('Workclass', 0.0136181), ('Hours_per_week', 0.009875127), ('Race', 0.001338443), ('Sex', 0.000562471)]"
"[('Marital_status', 0.160822161), ('Education', 0.10955875), ('Age', 0.06507369), ('Occupation', 0.024346284), ('Native_country', 0.013661569), ('Workclass', 0.01354103), ('Hours_per_week', 0.009728313), ('Sex', 0.000549327), ('Race', 0.000332131)]"
"[('Marital_status', 0.161274588), ('Education', 0.109394778), ('Age', 0.064796148), ('Occupation', 0.024527316), ('Workclass', 0.01354103), ('Native_country', 0.01354103), ('Hours_per_week', 0.009835394), ('Race', 0.002414213), ('Sex', 0.000568285)]"
"[('Marital_status', 0.160846475), ('Education', 0.109537114), ('Age', 0.065542694), ('Workclass', 0.065224262), ('Occupation', 0.024460911), ('Native_country', 0.013518469), ('Hours_per_week', 0.009794622), ('Race', 0.001103094), ('Sex', 0.000533127)]"
"[('Marital_status', 0.160465892), ('Education', 0.109392911), ('Age', 0.065107537), ('Occupation', 0.024794701), ('Native_country', 0.013795631), ('Workclass', 0.01339567), ('Hours_per_week', 0.009983014), ('Race', 0.000887342), ('Sex', 0.000520652)]"
"[('Marital_status', 0.160613886), ('Education', 0.109557224), ('Age', 0.065191425), ('Occupation', 0.024711866), ('Native_country', 0.01354336), ('Workclass', 0.013453588), ('Hours_per_week', 0.009795625), ('Race', 0.00074695), ('Sex', 0.000589034)]"
"[('Marital_status', 0.160896483), ('Education', 0.109667349), ('Age', 0.065174254), ('Occupation', 0.024330676), ('Native_country', 0.013760518), ('Workclass', 0.01354103), ('Hours_per_week', 0.009552573), ('Race', 0.004499037), ('Sex', 0.000533127)]"
"[('Marital_status', 0.160933073), ('Education', 0.109687207), ('Age', 0.065012965), ('Occupation', 0.024310817), ('Workclass', 0.013607161), ('Native_country', 0.013518469), ('Hours_per_week', 0.009794622), ('Sex', 0.000533127), ('Race', 0.000460525)]"
"[('Marital_status', 0.160546754), ('Education', 0.10931762), ('Age', 0.065478029), ('Occupation', 0.024680405), ('Workclass', 0.013586985), ('Native_country', 0.013518469), ('Hours_per_week', 0.009794622), ('Race', 0.002837296), ('Sex', 0.000533127)]"
"[('Marital_status', 0.160342362), ('Education', 0.108590804), ('Age', 0.064835808), ('Occupation', 0.026211911), ('Native_country', 0.013546646), ('Workclass', 0.013452432), ('Hours_per_week', 0.009876591), ('Race', 0.00214196), ('Sex', 0.000599457)]"
"[('Marital_status', 0.160916341), ('Education', 0.109687207), ('Age', 0.064871071), ('Occupation', 0.024310817), ('Workclass', 0.01354103), ('Native_country', 0.013518469), ('Hours_per_week', 0.009794622), ('Race', 0.001620306), ('Sex', 0.000533127)]"
"[('Marital_status', 0.160916341), ('Education', 0.109687207), ('Age', 0.064871071), ('Occupation', 0.024310817), ('Workclass', 0.01354103), ('Native_country', 0.013518469), ('Hours_per_week', 0.009794622), ('Race', 0.001620306), ('Sex', 0.000533127)]"
"[('Marital_status', 0.160073106), ('Education', 0.109633694), ('Age', 0.064642662), ('Occupation', 0.025469338), ('Workclass', 0.013538869), ('Native_country', 0.013526108), ('Hours_per_week', 0.010054152), ('Race', 0.001997253), ('Sex', 0.00051808)]"
"[('Marital_status', 0.160283737), ('Education', 0.109012493), ('Age', 0.065301397), ('Occupation', 0.025258829), ('Workclass', 0.013753336), ('Native_country', 0.013518469), ('Hours_per_week', 0.009794622), ('Race', 0.001846713), ('Sex', 0.000533127)]"
"[('Marital_status', 0.161097101), ('Education', 0.109471317), ('Age', 0.064586562), ('Occupation', 0.024681215), ('Workclass', 0.013588552), ('Native_country', 0.013524714), ('Hours_per_week', 0.009986261), ('Race', 0.001033989), ('Sex', 0.000520288)]"
"[('Marital_status', 0.160955128), ('Education', 0.108487407), ('Age', 0.065115609), ('Occupation', 0.025510618), ('Workclass', 0.01354103), ('Native_country', 0.013518469), ('Hours_per_week', 0.009794622), ('Race', 0.002775147), ('Sex', 0.000533127)]"
"[('Marital_status', 0.160703864), ('Education', 0.109556286), ('Age', 0.064741882), ('Occupation', 0.02451634), ('Native_country', 0.013794214), ('Workclass', 0.013544037), ('Hours_per_week', 0.009731253), ('Race', 0.000545204), ('Sex', 0.000522239)]"
"[('Marital_status', 0.160862614), ('Education', 0.10963348), ('Age', 0.065208123), ('Occupation', 0.024364544), ('Workclass', 0.01354103), ('Native_country', 0.013518469), ('Hours_per_week', 0.009794622), ('Race', 0.000923292), ('Sex', 0.000533127)]"
"[('Marital_status', 0.160069159), ('Education', 0.108405441), ('Age', 0.065747847), ('Occupation', 0.025676677), ('Native_country', 0.013597159), ('Workclass', 0.013477132), ('Hours_per_week', 0.009924408), ('Race', 0.001946035), ('Sex', 0.000558187)]"
"[('Marital_status', 0.16101276), ('Education', 0.109687207), ('Age', 0.065034348), ('Occupation', 0.024310817), ('Workclass', 0.01354103), ('Native_country', 0.013518469), ('Hours_per_week', 0.009794622), ('Sex', 0.000533127), ('Race', 0.00039558)]"
"[('Marital_status', 0.160986199), ('Education', 0.109642815), ('Age', 0.065081665), ('Occupation', 0.0243419), ('Workclass', 0.013543903), ('Native_country', 0.013518469), ('Hours_per_week', 0.009817271), ('Sex', 0.000523787), ('Race', 0.000476784)]"
"[('Marital_status', 0.160046239), ('Education', 0.108249011), ('Age', 0.065150192), ('Occupation', 0.026353486), ('Workclass', 0.013664006), ('Native_country', 0.013518469), ('Hours_per_week', 0.009949416), ('Race', 0.002225541), ('Sex', 0.00052519)]"
